Link,Abstrak,Author,Pub,Ed
detail.jsp?id=44322&lokasi=lokal,"Sistem Rekomendasi E-commerce Menggunakan Collaborative Filtering Berdasarkan Kombinasi User Similarity dan Item Similarity Perkembangan yang pesat dari world-wide-web dan meluasnya penggunaan e-commerce telah ikut mendorong perkembangan teknologi sistem rekomendasi. Collaborative filtering merupakan teknologi yang digunakan secara ekstensif di sistem rekomendasi komersial karena keefektifan serta kemudahan implementasinya. Collaborative filtering dengan metode berbasis memory memprediksi preferensi user terhadap suatu item berdasarkan pasangan user yang mirip (user similarity) atau pasangan item yang mirip (item similarity). Pada kasus dimana rating prediksi hanya berupa evaluasi biner, penggunaan user-based atau item-based saja menjadi kurang memadai. Untuk itu, penggabungan pendekatan user dan item dalam satu sistem rekomendasi collaborative filtering dapat menjadi suatu alternatif penyelesaian dalam mengurutkan relevansi item dari sejumlah kandidat. Metode ini menggunakan pengukuran similaritas dari domain link prediction untuk memprediksi target item dengan menggabungkan prediksi yang dihasilkan oleh algoritma berbasis user similarity dan algoritma berbasis item similarity. Hasil eksperimen menunjukkan bahwa algoritma ini meningkatkan precision dibandingkan dengan sistem rekomendasi yang hanya memperhatikan user similarity atau item similarity.",Aghny Arisya Putra  ," Publisher: Depok: Fakultas Ilmu Komputer UI, 2016 Call Number: SK-1511 (Softcopy SK-993) Source Code SK-614 ",Indra Budi
detail.jsp?id=4773&lokasi=lokal,"Setiap sistem temu kembali informasi (Sistem TKI) memiliki masalah di mana pemakai sistem TKI tidak tahu pasti kueri seperti apa yang efektif untuk menentukan dokumen-dokumen yang dinginkannya. Masalah ini diperparah oleh kenyataan bahwa dokumen-dokumen yang dianggap relevan oleh pemakai tidak selalu mengandung istilah dalam kueri. Oleh sebab itu, diciptakanlah model-model sistem-sistem TKI seperti inference network (IN) dan inference network dengan constraint spreading acativation (INCSA) yang dapat melakukan ekspansi kueri.  Selain menggunakan ekspansi kueri, penemuan dokumen-dokumen relevan yang tidak mengandung istilah dalam kueri juga dapat dilakukan menggunakan model sistem TKI berbasis  fuzzy logic dengan menggunakan korelasi antaristilah (Fuzzy logic MKA). Model ini diusulkan oleh Ogawa, Morita dan Kobayashi. Sistem TKI berbasis fuzzy logic MKA bekerja dengan menghitung derajat keanggotaan setiap dokumen dengan kueri dan melakukan pemeringkatan hasil pencarian sesuai dengan derajat kanggotaan tersebut. Dalam pengujian, ditemukan beberapa kelemahan sistem TKI berbasis fuzzy logic MKA dalam pemeringkatan hasil pencarian. Selai itu, dalam perbandingan dengan sistem TKI berbasis extended Boolean, extended Boolean Paice model (EBPM), IN, INCSA,  ditemukan bahwa kinerja model fuzzy logic MKA tidak dapat dikatakan lebih baik daripada model extended Boolean maupun EBPM","W, Hanendyo  "," Publisher: Depok: Fasilkom UI, 2003 Call Number: SK-0521 (Scan SK-1) ",Zainal Hasibuan
detail.jsp?id=4561&lokasi=lokal,"Masalah utama dalam pengaksesan kembali onformasi adalah, apakah suatu inforamsi, dalm hal ini dokumen yang akn diakses, sesuai atau tidak dengan keinginan pemakai. Sesuai atau tidaknya dokumen dengan kueri pemakai dilihat dari seberapa kuat hubungan antara istilah yang ada pada dokumen dan istilah yang ada pada kueri. Proses penentuan kesesuaian antara dokumen masukan, yang bertujuan untuk meningkatkan kinerja sistem temu kembali informasi (Magdalena,1996) Proses berikutnya adalah menghitung frekuensi kemunculan semua istilah indeks pada dokumen masukan dan kueri, yang selanjutnya digunakan untuk membuat Matriks Istilah dan Dokumen-Kueri (MIDK). Untuk membuat daftar hubungan ""lebih suka"" (preferencerelation antara tiap dua dokumen pada tiap kueri, MIDK diubah menjadi MDKI (Matriks Dokumen-Kueri dan istilah). Daftar hubungan ""lebih suka"" inilah yang kemudian digunakan untuk membuat matriks asosiasi istilah. Matriks asosiasi istilah adalah matriks yang berisi informasi tentang seberapa kuat hubungan istilah-istilah yang ada pada dokumen kueri. Peringkat dokumen untuk menentukan mana dokumen yang palinga relevan, relevan, dan paling tidak relevan dihitung dengan menggunakan matriks asosiasi yang telah didapat. Penelitian ini bertujuan mengimplementasikan penelusuran dokumen secara otomatis terhadap kueri yang diberikan pemakai dengan pemodelan jaringan syaraf (Wong dan Yao, 1993). Pemodelan  tersebut diimplementasikan dengan  menggunakan tiga lapisan umpan maju (three layer feed-forward  neural network). Penelitian ini diharapkan dapat meningkatkan kinerja sistem temu kembali informasi, yaitu pencarian dokumen terhadap kueri yang diberikan pemakai secara otomatis, sekaligus melihat seberapa efektif metode tersebut memberikan hasilnya","Ainiyah, Nurul  "," Publisher: Depok: Fasilkom UI,  1997 Call Number: SK-0403(Source Code SK-23) ",Zainal Hasibuan
detail.jsp?id=4517&lokasi=lokal,"Kebutuhan akan sistem temu-kembali infoamsi dalam Bahasa Indonesia mendorong dilaksanakannya peneliti ini. Salah satu tujuan penelitian ini adalah membuat Sistem Temu-kembali Informasi dengan Mengimplementasikan Operasi Boolean, Sistem Peringkat, Perbaikan Query, dan Pemanfaatan Tesaurus Penelitian ini memanfaatkan beberapa hasil penelitian sebelumnya yang mendukung temu-kembali informasi. Sistem Temu-kembali informasi yang terbentuk terdiri dari beberapa bagian yaitu:(1)proses parsing dokumen yaitu pengambilan kata-kata dari dokumen, (2) proses buang kata buangan (stoplist) yaitu kata yang tidak mewakili isi dokumen sehingga tidak dapat dijadikan sebagai indeks, (3)proses stemming kata yaitu proses penghinglangan imbuhan yang tidak perlu dari sautu kata turunan (berimbuhan), (4) proses indexing yaitu pemilihan istilah (indeks),(5) struktur berkas pembalikan dokumen(inverted file) yaitu struktur berkas yang digunakan untuk menyimpan pasangan istilah-dokumen dan bobot istilah (6) proses penghitungan kemiripan antar istilah yang menggunakan koefisien Cosine atau Jaccard, (7) proses pengelompokan isttilah secara hirarki dengan menggunakan teknik Klaster Hubungan Lengkap (Complete Link Cluster), (8) proses penyusunan tesaurus secara otomatis yang akan menggunakan struktur berkas pembalikan dokumen, psose parsing, stoplist, stemming, indexing, proses penghitungan kemiripan antar dua istilah, dan proses pengelompokan istilah, (9) proses mencari hugungan antar dua istilah(similarity of terms), (10) proses mencari hubungan antar dua istilah (similarity of documents), (11) proses query yaitu proes pengambilan informasi yang dinginkan dari query yang diberikan (12) proses ranking (peringkat) yang mengurutkan dan menyampaikan dokumen yang terambil, (13) Opersi Boolean terhadap istilah-istilah dalam query untuk temu-kembali dokumen yang diinginkan, dan (14) perbaikan query (query expansion) yaitu proses memperbaiki bentuk query agar dokumen yang terambil leibh sesuai dengan  yang diinginkan. Kesimpulan dari hasil penelitian ini adalah :  (1) ada kecenderungan semakin tinggi derajat  keterhubungan antar dua dokumen dari hasil proses otomatis hubungan antar dua dokumen, maka semakin ""dekat"" hubungan topik kedua dokumen tersebu, (2) ada kecenderungan semakin tinggi derajat keterhubungan  antar dua istilah dari hsil proses otomatis hubungan antar dua istilah, maka semakin mendukung bahwa kedua istilah tersebut mempunyai hubungan. Keterhubungan yang terbentuk kebanyakan membentuk ""kata majemuk . Hal ini menunjukkan bahwa cakupan banyak istilah dalam bahasa Indonesia yang terbentuk dari dua kata, (3) operasi Boolean dapat membantu dalam mendapatkan dokumen-dokumen yang relevan, (4) peringkat dokumen dapat membantu pemakai dalam memilih dokumen-dokumen yang relevan sesuai dengan bobotnya, (5) perbaikan query dapat membantu dalam memperoleh dokumen-dokumen yang lebih relevan.","Fitriyanti, Masayu  "," Publisher: Depok: Fasilkom UI, 1997 Call Number: SK-0357 ",Zainal Hasibuan
detail.jsp?id=7786&lokasi=lokal,"Internet yang berkembang dengan pesat kini telah dimanfaatkan orang untuk melakukan transaksi elektronis. Konsumen menggunakan browser untuk terhubung ke internet sedangkan browser saat ini tidak dapat menyimpan informasi yang digunakan untuk melakukan transaksi sehingga dibutuhkan aplikasi yang dapat melakukan tugas tersebut. Aplikasi ini selanjutnya disebut wallet yang dijalankan oleh browser untuk menyimpan informasi konsumen, autentikasi dan melakukan transaksi dengan pedagang. Perkembangan teknologi terakhir telah menghasilkan ptorokol transaksi SET (Secure Electronic Transaction) dan media penyimpanan smartcard yang aman. Untuk dapat mengimplementasi protokol SET dibutuhkan wallet yang memenuhi SET Compliane. Tugas akhir ini bertujuan untuk melakukan studi perbandingan terhadap teknologi wallet saat ini dan melalukan implementasi SmartWallet, yaitu wallet yang menggunakan protokol SET serta media penyimpanan hardisk dan smartcard. Selanjutnya melakukan implementasi website yang menggunakan SmartWallet tersebut. Tugas ini menggunakan protokol SET dan algoritma kriptografi yang sudah ada, pembayaran transaksi menggunakan kartu kredit / debit (keduanya didukung oleh ptorokol SET), dan beramsusi mempunyai akses terhadap port (selain HTTP, FTP) yang digunakan untuk komunikasi TCP/IP antara konsumen dan pedagang. Hasil studi perbandingan terhadap teknologi wallet menunjukkan bahwa teknologi applet mempunyai keamanan yang paling baik saat ini sehingga dapat mengimplementasi sebuah wallet yang menggunakan applet, protokol SET, dan samrtcard sebagai media penyimpanan alternatif.","Setiawan, Iman Budi  "," Publisher: Depok: Fasilkom UI, 1999 Call Number: SK-0412(Souce Code SK-21) ",Betty Purwandari
detail.jsp?id=4606&lokasi=lokal,"Penyesuaian jenis informasi yang dikirimkan oleh server suatu situs web ke client berdasarkan kesukaan pemakai, dikenal sebagai personalisasi situs web. Dengan personalisasi, pemakai akan lebih mudah dan cepat mendapatkan apa yang dibutuhkannya, dan pemilik situs web dapat menawarkan informasi kepada sasaran yang lebih terarah sehingga lalu lintas informasi di internet menjadi lebih efektif dan efisiensi. Tugas akhir ini mengimplementasikan prototipe sebuah situs web yang mempunyai perangkat personalisasi yang menggunakan software agent cerdas yang bisa mengamati kategori content yang dikuasai pemakai. Agent personalisasi ini menggunakan algoritma clustering hirarkis secara agglomerative dengan metode complete-linkage untuk mengenali keterhubungan (asosiasi) antara berbagai kategori content yang disajikan situs tersebut. Adapun saran (goal) dari agent personalisasi pada situs web tersebut adalah: pertama, menampilkan page awal dan iklan berdasarkan informasi frekuensi pengaksesan terhadap kategori-kategori content oleh pemakai yang diamatinya; kedua, memberikan rekomendasi komoditi berdasarkan hasil analisis yang dilakukan komponen learning engine dari agent personalisasi ini terhadap pola akses para pemakai  terhadap content situs web tersebut. Situs web dan perangkat personalisasi berbasis agent yang dihasilkan dari tugas akhir ini dapat digunakan sebagai prototipe sistem berbasis agent yang menggunkann protokol HTTP.","Alfina, Ika  "," Publisher: Depok: Fasilkom UI, 2000 Call Number: SK-0433 ",Yohanes Stefanus
detail.jsp?id=4533&lokasi=lokal,"Suatu basis ideal G F[x1, x2,...xn] disebut suatu basis Grobner terhadap suatu term-ordering tertentu apabila setiap unsur dari ideal I=(G) mempunyai bentuk normal 0 modulo G. Basis Grobner ini banyak digunakan dalam bidang dalam bidang komputasi simbolik. Salah satu alasannya adalah karena terdapat algoritme Buchberger yang selalu dapat menghasilkan basis Grobner dari suatu himpunan polinomial. Tugas akhir ini menelaah dan mengimplementasikan suatu algoritme untuk mencari penyelesaian dari suatu sistem persamaan polinomial dengan menggunakan basis Grobner yang dibangun dari himpunan polinomial yang bersangkutan. Langkah-langkah dalam algoritme itu mengusahakan agar terdapat unsur dalam basisi Grobner yang berupa polinomial vervariabel tunggal. Polinomial-polinomial inilah yang digunakan untuk mendapatkan penyelesaian akhir, apabila memang terdapat penyelesaian yang brehingga banyaknya. Jika sistem persamaan polinomial itu berupa suatu sistem persamaan linear, algoritme penyelesaian dengan basis Grobner itu tidak lain adalah eliminasi Gauss. Implementasi dilakukan dengan sistem MAPLE pada PC berprosesor intel 386 atas windows 3.11. Uji coba terhadap berbagai sistem persamaan polinomial menunjukkan bahwa term-ordering yang digunakan berpengaruh terhadap waktu penyelesaian. Pada umumnya penyelesaian yang menggunakan term-ordering pure lexicographic memerlukan waktu yang lebih pendek dibandingkan dengan yang menggunakan total degree",Agusril  ," Publisher: Depok: Fasilkom UI, 1998 Call Number: SK-0373 ",Yohanes Stefanus
detail.jsp?id=7439&lokasi=lokal,"Tugas akhir ini bertujuan membuat sistem pengindeksan dari suatu dokumen berdasarkan kalimat penyusun dokumen dengan menggunakan pendekatan pengembangan dari metode pengindeksan secara statistik. Sistem pengindeksan ini merupakan sebagian dari seluruh sistem temu kembali informasi yang menggunakan Bahasa Indonesia. Dalam pengindeksan ini akan digunakan metode pemilihan kalimat penting pada dokumen yang dapat digunakan untuk mencari kata indeks. Dalam penelitian ini yang dianggap sebagai kalimat penting adalah kalimat di awal  dan di akhir paragraf dan juga kalimat yang mengandung kata-kata pada judul dokumen yang bersangkutan. Penelitian ini menggunakan daftar kata indeks dari makalah yang dilakukan secara manual untuk digunakan sebagai pembanding. Selain itu sebagai pembanding digunakan pula metode pengindeksan Salton. Metode implementasi yang digunakan adalah studi pustaka, yaitu mempelajari dokumen yang akan dijadikan input untuk meneliti struktur kalimat yang biasa digunakan dalam dokumen dan kemudian mengimplementasikannya dalam bahasa pemrograman C++. Ruang lingkup dalam TA ini hanya menggunakan makalah dan abstraksi dalam bidang komputer sebagai input. Hasil uji coba yang diperoleh memberikan gambaran bahwa sistem pengindeksan ini telah berhasil mengurangi jumlah kata yang dihasilkan oleh metode Salton dengan hasil ketepatan yang cukup memuaskan.","Rinawati, TH. Dwi  ", Publisher:  Call Number: SK-0392(Source Code SK-20) ,Bobby Nazief
detail.jsp?id=6954&lokasi=lokal,"Tugas akhir ini mengimplementasikan Algoritma Genetika (GA) pada Jaringan Saraf Tiruan yang menggunakan arsitektur Himesphere Structure of Hidden Layer (JST-HSHL). Proses optimasi dilakukan pada jaringan pasca pelatihan dan jaringan pra pelatihan. Ada 2 fungsi fitness yang dibandingkan, yaitu fungsi fitness yang berorientasi pada optimasi struktur jaringan dan fungsi fitness yang berorientasi pada optimasi tingkat pengenalan sistem. Perbedaan dari kedua fungsi fitness terletak pada cara penambahan variabel persen pengenalan jaringan terhadap data masukan untuk fungsi fitness yang berorientasi pada optimasi tingkat pengenalan sistem. JST-HSHL digunakan untuk pengenalan objek 3 dimensi melalui citra masukan 2  dimensi dengan sudut pandang vertikal dan horisontal. Metode pelatihan yang digunakan adalah metode pelatihan supervised. Citra masukan telah direduksi dengan menggunakan transformasi Karhonen Loeve atau Principal Component Analysis. Hasil reduksi dikelompokan menjadi 3 percobaan, yaitu Eigen Partial 1, Eigen Partial 2, dan Eigen Semua. Dari hasil percobaan, untuk tipe jaringan multipled dan arsitektur JST-HSHL Jamak, kedua fungsi fitness mampu meningkatkan pengenalan objek 70.41% (Partial 1) - 98.83%(Partial 2) dari 70.38% - 98.79% untuk GA pasca pelatihan dan untuk GA pra pelatihan fungsi fitness dengan data uji mampu meningkatkan pengenalan menjadi 71.71%(Partial 1) -98.83% (Partial 2) dari 71.68%-98.77%, sedangkan fungsi fitness terjadi penurunan pengenalan menjadi 68.21% (partial 1) -97.59% (Partial 2) dari 71.70% -98.79%","Kurniawan, Rahmat  ", Publisher: Depok: Fasilkom 2002 Call Number: SK-0506 ,Benyamin Kusumoputro
detail.jsp?id=4492&lokasi=lokal,"Penggunaan jaringan komputer semakin populer dewasa ini banyak orang yang semakin tertarik untuk memfaatkan jaringan komputer baik untuk pribadi atau bisnis, terutama dengan kehadiran jaringan Internet. Tetapi, seiring dengan itu pula semakin banyak orang yang berniat tidak baik untuk memanfaatkan kelemahan yang ada pada jaringan komputer. Tugas akhir ini melakukan studi terhadap keamanan jaringan komputer, khususnya jaringan yang berbasis protokol TCP/IP. Studi ini terdiri atas dua bagian besar, yakni evaluasi jaringan unix dan penelusuran berbagai teknik yang dapat dipergunakan untuk pembatasan akses pada suatu jaringan. Melalui evaluasi ini dapat diketahui berbagai kelemahan yang bisa terjadi pada aplikasi jaringan. Evaluasi aplikasi unix mempergunakan program Security Administrator Tool for Auditing Networks (SATAN). Sedangkan untuk membatasi akses antar jaringan, diperkenlkan konsep firewall. Ada berbagai cara untuk menerapkan firewall pada suatu jaringan, baik melalui sebuah peralatan khusus atau dengan menggunakan perangkat lunak tertentu. Pada studi ini telah diuji coba sebuah perangkat lunak untuk diterapkan sebagai firewall, yakni socks5. Dari hasil evaluasi aplikasi jaringan unix menunjukkan bahwa pada jaringan Fasilkom, berbagai aplikasi yang mempunyai masalah ternyata telah diperbaiki dengan mempergunakan versi yang terbaru. Dari uji coba menunjukkan bahwa socks5 adalah sebuah solusi yang murah untuk dapat diterapkan pada jaringan yang sederhana.","Daradjat, Rachmat  "," Publisher: Depok: Fasilkom UI, 1996 Call Number: SK-0328 ",Johny Moningka
detail.jsp?id=4681&lokasi=lokal,"Paradigma Aspect-Oriented Programming (AOP) dikemukakan untukmenangani cross-cutting concerns yang tidak dapat dilakukan oleh paradigma object-oriented programming (OOP). Cross-cutting concerns adalah fungsionalitas program yang sama dan yang terdapat dalam beberapa class namun tidak dapat dikelompokkan ke dalam  sebuah class cross-cutting concerns tersebut menyebabkan code tangling dalam sebuah program. Code tangling adalah kondisi di mana struktur dari program tersebut tidak dapat ditelusuri dengan baik karena adanya code-code yang sama di beberapa bagian yang berbeda dalam program. Paradigma AOP mengurangi code tangling tersebut dengan mengelompokkan cross-cutting concerns yang menyebabkanya dalam unit modular aspect. Dalam tugas akhir ini, penulis melakukan penelitian untuk melihat manfaat penerapan AOP dalam sebuah program yang besar, yakni programming library untuk penggambaran diagram statistik-chart2d - dalam bahasa Java  dengan jumlah baris code mencapai 13989 baris. Tugas akhir ini dilakukan dengan menganalisa  modularits program  chart2d berdasarkan penerapan paradigma OOP dan menerapakan AOP untuk menangani cross-cutting concerns yang ada dalam program tersebut. Hasil penelitian ini menunjukkan bahwa sekalipun paradigma OOP telah diterapkan untuk membangun program chart2d dengan modularitas yang baik, corss-cutting concerns tetap ada dan tidak dapat dikelompokkan. AOP kemudian diterapkan untuk mengelompokkan cross-cutting concenrs tersebut. Dari studi kasus ini, AOP dapat mengurangi code tangling, menghasilkan  modularitas yang baik, cross-cutting concerns di hampir seluruh classs dan melakukan penelitian mengenai penerapan OAP sejak pada tahap perancangan",Rio Rinaldi  ," Publisher: Depok: Fasilkom UI, 2002 Call Number: SK-0513(Softkopi SK-0020) ",Widijanto Nugroho
detail.jsp?id=7430&lokasi=lokal,"Perusahaan-perusahaan saat ini dapat menyimpan sejumlah besar data yang berhubungan dengan bisnis mereka yang merupakan informasi yang strategis. Seiring dengan berkembangnya teknologi basis data relasional, pemrosesan paralel, dan teknologi distribusi, dunia teknologi informasi menyediakan kesempatan bagi perusahaan-perusahaan untuk mengembangkan data warehouse. Untuk menghasilkan keputusan-keputusan bisnis yang lebih baik, para pengusaha membutuhkan akses yang cepat dan mudah ke data perusahaan dan  informasi kompetitif. Untuk itu dibutuhkan suatu proses pengeksekusian kueri yang efiesien terhadap data warehouse. Pada basis data transaksional, upaya memperoleh proses pengeksekusian kueri yang efisien telah dilakukan melalui sejumlah teknik optimasi kueri, antara lain dengan pendekatan algebra relasional, dan  pendekatan semantik. Untuk melihat sejauh mana efektivitas teknik-teknik tersebut untuk data warehouse,akan dilakukan dua hal yakni: 1. Penggabungan teknik optimasi pendekatan algebra relasional dengan pendekatan semantik, memanfaatkan keunggulan masing-masing pendekatan. 2. Studi perbandingan teknik optimasi, antara: pendekatan algebra relasional, pendekatan semantik dan pendekatan gabungan algebra relasional dan semantik. Studi perbandingan ini akan meliputi sejumlah ujicoba ayng dinilai terutama dari segi waktu pengeksekusian sejumlah perintah kueri, baik itu kueri biasa, maupun kueri aggregate. Dua perangkat lunak yang akan dipergunakan untuk ujicoba, yakni Boland Delphi versi 2.0 untuk aplikasi masukan kueri, serta microsoft access versi 7.0 untuk data warehousenya. Adapun data warehouse yang akan dipergunakan untuk ujicoba adalah data warehouse dari program Star Tracker, milik Ralph Kimball. Seluruh aplikasi yang akan dipergunakan selama ujicoba berjalah di atas sistem operasi Microsoft Windows 97","Wirakartakusumah, Daryl N.  "," Publisher: [Depok: Fasilkom UI, 1998;;, ] Call Number: SK-0396 ",Nursalim Hadi
detail.jsp?id=4499&lokasi=lokal,"Sitem pembayaran elektronis yang sangat berperan dalam dunia bisnis sangat memperbesar beban kerja bank. Bank harus terlibat pada proses pemindahan uang yang terjadi saat transaksi, sehingga volume kerja bank menjadi luar biasa besar pada waktu-waktu tertentu. Untuk membuat beban kerja tersebut tidak terpusat pada satu waktu, sistem pembayaran internet menggunakan verifikasi off-line tanpa melakukan hubungan bank. Urusan selanjutnya dengan bank dapat digeser ke waktu lain. Sistem off-line diharapkan dapat tetap mempertahankan keamanan transaksi. Tanpa pengawasan on-line dari bank, masalah keamanan ini menjadi lebih kritis, khususnya bagi pihak penerima dan pihak bank. Selain itu juga dibutuhkan kerahasiaan data belanja seseorang terhadap orang lain (privasi). Dalam tugas akhir ini dilakukan studi pengembangan awal suatu desain protokol sistem pembayaran elektronis melalui internet dengan verifikasi off-line. Pengembangan protokol sistem ini memanfaatkan kosep-konsep matematis, seperti kriptografi dan operasi dalam teori bilangan. Untuk menganalisis keamanan protokol dengan cara yang lebih sistematis, dikembangkan kerangka analisis formal. Kerangka analisis tersebut kemudian diterapkan terhadap protokol. Hasisl analisis dapat membantu mengamai perubahan status yang terjadi pada saat protokol dijalankan. Analisis tersebut juga dapat memperlihatkan beberapa kelemahan pada desain.","Rahmita, Yenni  "," Publisher: Depok: Fasilkom UI, 1997 Call Number: SK-0335 ",Wishnu Prasetya
detail.jsp?id=4658&lokasi=lokal,"Penelitian ini bertujuan untuk menerapkan pengurai bahasa alami yang menggunakan constraint based formalism (CBF) pada Sistem Ekstraksi Informasi Berbahasa Indonesia (SEIBI), serta membandingkan hasilnya dengan hasil yang diperoleh SEIBI yang menggunakan pengurai bahasa alami berbasis Linguistic String Analysis (LSA). Pengurai bahasa alami adalah suatu alat bantu untuk menguraikan struktur kalimat,  sedangkan SEIBI adalah suatu sistem ekstraksi informasi ayng dapat melakukan ekstraksi informasi dari teks masukan berbahasa Indonesia. SEIBI dikembangkan berdasarkan arsitektur CIRCUS. Penelitian ini menggunakan abstrak-abstrak mahasiswa Fakultas Ilmu Komputer Universitas Indonesia sebagai dokumen masukan. Sedangkan jenis informasi yang diolah pada penelitian ini dibatasi pada penyaringan tiga buah informasi , yaitu tujuan penelitian,  ruang lingkup, dan kesimpulan. Perbandingan yang dilakukan pada penelitian ini meliputi perbandingan hasil akhir SEIBI dan hasil penguraian kalimat-kalimat pada dokumen masukan.Hasil uji coba menunjukkan bahwa SEIBI dengan pengurai bahasa alami yang menggunakan abstrak-abstrak mahasiswa Fakultas Ilmu Komputer Universitas Indonesia sebagai dokumen masukan. Sedangkan jenis informasi yang diolah pada penelitian ini dibatasi pada penyaringan tiga buah informasi, yaitu tujuan penelitian, ruang lingkup, dan kesimpulan. Perbandingan yang dilakukan pada penelitian ini meliputi perbandingan hasil akhir SEIBI dan hasil penguraian kalimat-kalimat pada dokumen masukan. Hasil uji coba menunjukkan bahwa SEIBI dengan pengurai bahasa alami yang menggunakan CBF mampu mengekstrak informasi tujuan dari 39 dokumen, informasi ruang lingkup dari 2 dokumen, dan informasi kesimpulan dari 17 dokumen. Secara keseluruhan, SEIBI dengan pengurai bahasa alami yang menggunakan CBF berhasil mengekstrak informasi dengan jumlah yang lebih sedikit dibandingkan dengan jumlah informasi yang berhasil diekstrak oleh SEIBI dengan pengurai bahasa alami yang menggunakan LSA. Penyebabnya antara lain adalah tidak teruraiannya kalimat-kalimat yang mengandung informasi tersebut, perbedaan pendefinisian struktur kalimat inversi pada aturan produksi kedua pengurai, serta perbedaan pohon urai yang dihasilkan oleh  hasil uraian kedua pengurai","Sejati, Yuliana Kenyo  "," Publisher: Depok: Fasilkom UI, 2001 Call Number: SK-0490 ",Bobby Nazief
detail.jsp?id=4505&lokasi=lokal,"Internet sebagai jaringan komputer global, dapat dipergunakan sebagai mediia perdagangan di era globalisasi dan pasar bebas. Penggunaan Internet sebagai media perdagangn menghadirkan beberapa masalah kamanan, yakni masalah kerahasiaan (confidentiality) transaksi, kaslian/keutuhan (integrity) transaksi dari usaha manipulasi, keabsahan (authenticity) pihak-pihak yang bertransaksi, dan pencatatan transaksi agar bisa jadi barang bukti yang tidak bisa disangkal (non-repudiation). Sistem-sistem perdagangan di internet umumnya mempergunakan suatu bentuk pemberian kepercayaan tertentu dan juga perangkat-perangkat kriptografi untuk mengatasi masalah tersebut. Untuk menganalisis dan merancang suatu sistem perdagangan di Internet (SPI), selain memepelajari teori-teori dasar kriptografi dan teknologi-teknologi jaringan yang menunjang SPI, untuk mengetahui sistem keuangan yang berlaku maka penulis juga melakukan wawancara dengan piihak perbankan swasta dan bank sentral. Setelah iitu penulis melakukan perbandingan terhadap 9 SPI yang ada. Setiap SPI diteliti alur transaksinya, klasifikasinya, perangkat lunaknya, keamanannya, sistem pemberian kepercayaannya, mekanisme pembayarannya dan prospeknya. Hasil studi perbandingan menunjukkan bahwa belum ada SPI yang menggunakan transaksi cek bilyet dengan pengamanan sertifikat digital. Berdasarkan itu, maka penuliis mencoba merancang suatu protokol cek bilyet digital dengan pengamanan sertifikat digital. Protokol cek biilyet digital ini dapat mengatasi masalah-masalah keamanan perdagangan di Internet yang telah disebutkan diatas.","Wibowo, Arrianto Mukti  "," Publisher: Depok: Fasilkom UI, 1997 Call Number: SK-0341 ",Nursalim Hadi
detail.jsp?id=4507&lokasi=lokal,"Kunci kesuksesan seubah sistem kontrol(Real-Time systems) yang memiiliki kompleksiitas tinggi dan bermisi kritis adalah spesifikasi dan rancangan yang tegas dan tidak ambigu. SDL(Speciification and Description Language) sebagai salah saru bahasa formal spesifikasi memberikan solusi lebih dibandingkan bahasa spesifikasi yang lain. Traffic Management and Infomration Systems(TMIS) adalah satu contoh sistem bermisi kritis yang harus memiliki kehandalah yang tinggi. Pengontrolan komponen-komponen sistem TMIS yang terdistribusi memilikii kesulitan sendiri. Pemusatan manajemen sistem dapat dilakukan agar komponen sistem terkoordinis dengan baik serta kegagalan fungsi komponen dapat terpantau sehingga antisipasi dan tindakan penanganan dapat dilakukan secepat-cepatnya. Tugas akhir ini bertujuan merancang serta melakukan verifikasi dan validasi suatu model sistem TMIS. Fokus pemodelan terlettak pada aspek manajamen kegagalan yang dimiliki sistem. Model siistem akan dibuat menggunakan SDL. Manajemen kegagalan komponen akan ditangani secara hirarkis. Kegagalan komponen sedapat mungkin diatasi pada tingkatan komponen (subkomponen) terendah yang mampu mengatasi kegagalan tersebut. Jika kegagalan tak daapt diatasi maka status komponen akan dilaporkan ketingkatan  diatasnya, begitu seterusnya. Deskripsi perilaku komunikasi dalam sistem akan dibuat menggukan MSC(Message Sequence Charts). Sejumlah skenario pertukaran sinyal yang menjelaskan kasus kegunaan sistem pada saat tertentu akan dideskripsikan berdasarkan spesifikasi kebutuhan (requirement specification). Pada prinsipnya sistem yang telah/akan dibuat menggunakan SDL. Saat model (SDL dan MSC) telah dibuat (sebagian atau seluruhnya) akan  dilakukan  verifikasi dan validasi model verifikasi bertujuan menguji apakah model sistem telah dibuat dengan benar terlepas dari layanan yang seharusnya ia berikan. Validasi bertujuan menguji apakah model sistem berperilaku sesuai dengan apa yang diharapkan (spesifikasi kebutuhan). Kedua proses ini memanfaatkan model dalam SDL dan MSC. Proses simulasi (verifikasi dan validasi) menggunakan alat bantu simulator dari ObjectGEODE. Dalam tugas akhir ini pemodelan sistem dibatasi hingga tingkat rancangan struktur. Sementara ini untuk pemodelan perilaku sistem, sebagai tinjauan kasus akan diberikan contoh perilaku subsistem manajemen kegagalan dalam menganani komponen. Aspek penanganan ayng disoroti bersifat generik. yaitu penanganan yang sifatnya tidak bergantung pada cara kerja spesifik masing-masing komponen yang dikontrol.",Mephri  ," Publisher: Depok: Fasilkom UI,  1977 Call Number: SK-0343 ",Wishnu Prasetya
